Aprob_Semestre1;Aprob_Semestre2;Aprob_Semestre3;Total_Aprob;Genero;Edad;Provincia;Estado_civil;emplea_ingresos;niv_form_padre;niv_form_madre;ing_hogar;num_miembros_hogar;ing_eve;Tipo_vivienda;tipo_const_vivienda;Internet;cert_practicas;Cert_ingles_A2;Trabaja;Tiempo_trab;Colegio_especializacion;Nivel_Ingles;Sist_ingreso;Tipo_Colegio;Tipo_matricula;Condicion;Porc_Beca;motivo_Beca_1;motivo_Beca_2;Continua
6;6;6;18;Femenino;21;Guayas;Soltero;No aplica;Secundaria;Secundaria;400;4;0;Propia;Villa;No;Si;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;40;Excelencia Academica;Otros;1
6;6;6;18;Masculino;46;Guayas;Soltero;Para mantener a su hogar;Posgrado;Secundaria;600;4;0;Arrendada;Casa;Si;Si;Si;No;0;BACHILLER EN INFORMATICA;Basico;Homologacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;40;Guayas;Casado;Financiar sus estudios;Secundaria;Educacion Media;425;5;200;Cedida;Villa;Si;No;Si;Si;1;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Extraordinario;Caso Especial;0;No aplica;Otros;1
6;6;6;18;Masculino;22;Guayas;Soltero;No aplica;Primaria;Superior Universitaria;1194;5;0;Propia;Casa;Si;No aplica;No aplica;No;0;BACHILLER TECNICO;Basico;Curso de Nivelacion;Fiscal;Extraordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;31;Guayas;Soltero;Financiar sus estudios;Educacion Basica;Educacion Basica;900;4;0;Propia;Villa;Si;No;Si;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;25;Guayas;Soltero;Para mantener a su hogar;Superior Universitaria;Secundaria;1500;5;0;Arrendada;Villa;Si;No;No;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;36;Guayas;Soltero;Financiar sus estudios;Educacion Basica;Educacion Basica;700;4;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Masculino;27;Guayas;Soltero;Financiar sus estudios;Secundaria;Secundaria;700;1;0;Arrendada;Departamento;Si;No;No;Si;1;BACHILLER TECNICO;Basico;Curso de Nivelacion;Fiscal;Ordinario;Reingreso;0;No aplica;Otros;0
3;4;0;7;Femenino;37;Los Rios;Soltero;Financiar sus estudios;Superior Universitaria;Posgrado;1600;3;0;La esta pagando;Casa;Si;Si;Si;Si;0;BACHILLER EN CIENCIAS;Basico;Hom. Tray. Profesional;Particular;Ordinario;Hom. Tray. Profesional;0;No aplica;Otros;0
6;6;6;18;Femenino;23;Guayas;Soltero;No aplica;Primaria;Superior Universitaria;400;6;0;Arrendada;Casa;Si;No;No aplica;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;10;Socioeconomica;Otros;1
6;6;6;18;Femenino;44;Guayas;Soltero;Para mantener a su hogar;Educacion Media;Educacion Media;1100;3;0;Otra;Otra;Si;Si;Si;Si;21;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Masculino;41;Guayas;Soltero;Financiar sus estudios;Educacion Media;Educacion Media;1900;5;0;Propia;Casa;Si;No;Si;Si;19;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Ex cadete Anai;1
